Titre,Description courte,Description,Note,Note Type,Date,Période,Sous-période,Catégorie,Lien image libre de droit,Source
"Hiéroglyphes cryptographiques","Les premiers cryptages de l'histoire, destinés à cacher des secrets divins ou des savoirs précieux.","Les hiéroglyphes égyptiens sont considérés comme l’une des plus anciennes formes de cryptographie. Bien que leur usage ne soit pas lié à la sécurité militaire ou commerciale, des exemples de textes ont été trouvés où des symboles rares ou altérés étaient utilisés, rendant le message inintelligible pour les non-initiés et lui conférant un statut sacré ou de prestige.","Ces hiéroglyphes cryptographiques n'avaient pas pour but de protéger un secret d'État, mais plutôt de montrer la maîtrise linguistique et intellectuelle du scribe. Ils étaient une forme de défi cryptologique pour l'élite lettrée de l'époque.","Le saviez-vous",-1900,"Prémices de l'informatique","Antiquité","Cryptographie","https://upload.wikimedia.org/wikipedia/commons/4/4e/Rosetta_Stone_BW.jpg","https://fr.wikipedia.org/wiki/Pierre_de_Rosette"
"Scytale spartiate","Un ingénieux bâton de chiffrement, premier exemple d'outil de cryptographie de transposition, pour les messages militaires.","La scytale est une méthode de cryptographie par transposition utilisée par les Spartiates. Un message était écrit sur une bande de cuir enroulée autour d'un bâton d'un certain diamètre. Une fois déroulée, la bande ne montrait que des lettres aléatoires, incompréhensibles sans un bâton de même diamètre (la clé).","C'est l'un des premiers exemples de cryptosystèmes utilisant une clé. Le message n'est pas chiffré en tant que tel, mais simplement transformé en fonction du diamètre du bâton. C'est l'ancêtre du principe de la clé de chiffrement.","Concept clé",-650,"Prémices de l'informatique","Antiquité","Cryptographie","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Scytale_reconstitution.jpg/1920px-Scytale_reconstitution.jpg","https://fr.wikipedia.org/wiki/Scytale"
"Mécanisme d'Anticythère","Un calculateur analogique antique, capable de prévoir les mouvements des astres et les éclipses avec une grande précision.","Découvert en 1901 dans une épave grecque, le mécanisme d’Anticythère est un assemblage complexe de roues dentées. Il est considéré comme le premier ""ordinateur analogique"" de l'histoire. Il servait à simuler les cycles astronomiques et à prédire les éclipses solaires et lunaires.","Ce mécanisme est d'une complexité et d'une précision technologique si avancées pour son époque qu'il a remis en question les connaissances que l'on avait de l'ingénierie antique. C'est un exemple de **hardware** ultra-sophistiqué qui a été perdu pendant plus de mille ans.","La stat",-100,"Prémices de l'informatique","Antiquité","Hardware","https://upload.wikimedia.org/wikipedia/commons/e/e6/Antikythera_Mechanism_MOC.jpg","https://fr.wikipedia.org/wiki/M%C3%A9canisme_d%27Anticyth%C3%A8re"
"Code de César","Un simple et efficace système de chiffrement par substitution, attribué à Jules César pour ses correspondances militaires.","Attribué à Jules César, ce code est une méthode de chiffrement par substitution. Chaque lettre du message est remplacée par une autre lettre située un nombre fixe de positions plus loin dans l'alphabet (par exemple, 3 positions). La méthode est simple à mettre en œuvre mais facilement cassable aujourd'hui.","Malgré sa simplicité, le Code de César a été utilisé pendant des siècles. Il est devenu un cas d'école pour comprendre les bases de la cryptographie et les limites des chiffrements par substitution.","Le saviez-vous",-50,"Prémices de l'informatique","Antiquité","Cryptographie","https://upload.wikimedia.org/wikipedia/commons/4/4b/Caesar_cipher_right_shift_of_3.svg","https://fr.wikipedia.org/wiki/Chiffrement_de_C%C3%A9sar"
"Invention du zéro et du système décimal en Inde","Le développement de ces concepts mathématiques a révolutionné les calculs, posant les bases de l'informatique moderne.","L'invention du zéro en tant que chiffre et du système décimal de position en Inde a été un tournant majeur pour les mathématiques et l'informatique. Auparavant, des systèmes comme le chiffre romain rendaient les calculs complexes. Le système décimal, avec son usage de la position, a rendu les opérations arithmétiques systématiques et plus simples à automatiser.","L'utilisation du zéro comme ""placeholder"" a permis d'exprimer des nombres de manière non-ambiguë et a ouvert la voie à la pensée binaire, où les deux chiffres 0 et 1 suffisent pour tout exprimer. C'est la base de tout le système numérique informatique.","Concept clé",500,"Prémices de l'informatique","Moyen Âge","Algorithmique","https://upload.wikimedia.org/wikipedia/commons/0/03/Zero_in_the_Bakhshali_manuscript.jpg","https://fr.wikipedia.org/wiki/Z%C3%A9ro"
"Invention de l'algèbre par Al-Khwarizmi","Le mathématicien Al-Khwarizmi est le père de l'algèbre et de la notion d'algorithme.","Al-Khwarizmi a été un mathématicien persan dont les travaux ont fondé l'algèbre. Son ouvrage a été traduit en latin, et le terme ""algorithme"" est une déformation de son nom. Il a posé les bases de la résolution de problèmes mathématiques à travers des séquences d'étapes précises, un principe fondamental en informatique.","Le nom ""algorithme"" vient directement du nom latinisé d'Al-Khwarizmi (Algorithmus). Il est considéré comme le père de l'algorithmique. Ce lien étymologique est essentiel pour comprendre les racines historiques de la discipline.","La star",820,"Prémices de l'informatique","Moyen Âge","Algorithmique","https://upload.wikimedia.org/wikipedia/commons/7/75/Al-Khwarizmi_Portrait.jpg","https://fr.wikipedia.org/wiki/Al-Khwarizmi"
"Cryptanalyse par Al-Kindi","Le philosophe Al-Kindi a introduit la méthode de l'analyse des fréquences pour casser les codes, un tournant en cryptologie.","Le savant perse Al-Kindi a écrit un manuscrit sur le déchiffrement des messages cryptés. Il y expose pour la première fois la méthode de l'analyse des fréquences, qui consiste à étudier la récurrence des lettres dans un texte chiffré pour en déduire les lettres d'origine, un algorithme de cassage de code.","L'analyse des fréquences est la technique la plus simple et la plus efficace pour briser les chiffrements par substitution. La découverte de cette méthode marque la naissance de la cryptanalyse en tant que science, où l'on utilise des outils statistiques et mathématiques pour casser un code.","Concept clé",850,"Prémices de l'informatique","Moyen Âge","Cryptographie","https://upload.wikimedia.org/wikipedia/commons/e/e2/Alkindus.jpg","https://fr.wikipedia.org/wiki/Al-Kindi"
"Pascaline","La première machine à calculer mécanique, inventée par Blaise Pascal pour aider son père.","La Pascaline, inventée par Blaise Pascal en 1642, est considérée comme la première machine à calculer mécanique fonctionnelle. Elle pouvait effectuer des additions et des soustractions par simple manipulation de roues dentées. Son fonctionnement était complexe, mais elle a ouvert la voie à la mécanisation du calcul.","Pascal a inventé cette machine à 19 ans pour aider son père, qui était percepteur des impôts. C'est un exemple fascinant de la rencontre entre les mathématiques, la mécanique et la nécessité d'automatiser des tâches répétitives.","La star",1642,"Prémices de l'informatique","Première révolution mécanique","Hardware","https://upload.wikimedia.org/wikipedia/commons/a/aa/Pascaline_at_the_Conservatoire_national_des_arts_et_m%C3%A9tiers.jpg","https://fr.wikipedia.org/wiki/Pascaline"
"Machine de Leibniz","Une amélioration de la Pascaline, capable de faire des multiplications et des divisions grâce à un tambour denté.","Gottfried Wilhelm Leibniz a créé sa machine à calculer, nommée ""Stepped Reckoner"", en 1673. Basée sur les travaux de Pascal, elle introduisait un mécanisme d'engrenage plus complexe, le ""tambour de Leibniz"", pour effectuer des multiplications et des divisions de manière semi-automatique.","La machine de Leibniz, bien que mécaniquement complexe et peu fiable, a été la première à proposer une solution pratique pour les multiplications, en les ramenant à une série d'additions répétées. Ce principe est à la base de nombreux calculateurs ultérieurs.","Le saviez-vous",1673,"Prémices de l'informatique","Première révolution mécanique","Hardware","https://upload.wikimedia.org/wikipedia/commons/f/fc/Leibniz-calculator.jpg","https://fr.wikipedia.org/wiki/Calculatrice_de_Leibniz"
"Métiers à tisser de Jacquard","Une innovation majeure utilisant des cartes perforées pour automatiser la création de motifs complexes sur le tissu.","Inventé par Joseph Marie Jacquard en 1801, ce métier à tisser utilisait des cartes perforées pour commander le mouvement des fils. Chaque trou dans une carte correspondait à une instruction pour le métier. Ce système a permis de programmer des motifs textiles complexes de manière répétitive et sans erreur.","C'est la première utilisation de cartes perforées pour stocker et exécuter un **programme**. Ces cartes sont considérées comme l'ancêtre du stockage de données et de la programmation, influençant directement Charles Babbage dans la conception de ses machines.","Concept clé",1801,"Révolution mécanique","Inventions mécaniques","Hardware","https://upload.wikimedia.org/wikipedia/commons/9/9b/Jacquard_loom_mus%C3%A9e_des_Arts_et_Metiers.jpg","https://fr.wikipedia.org/wiki/M%C3%A9tier_%C3%A0_tisser_Jacquard"
